,age,sex,years_study,color_race,salary,civil_status,region
535,28,man,11.0,brown,10335.599609375,married,north
536,45,woman,15.0,white,18360.0,not_married,north
537,47,man,11.0,white,12422.391189513477,not_married,north
538,30,man,8.0,brown,19206.0,married,north
539,31,woman,15.0,brown,17331.83984375,married,north
540,42,woman,5.0,white,1236.0,not_married,north
541,20,man,15.0,brown,11635.19921875,not_married,north
542,42,man,6.0,white,11877.599609375,married,north
543,38,woman,11.0,brown,12120.0,married,north
544,51,man,15.0,white,101592.0,married,north
545,38,woman,14.0,white,11760.0,married,north
546,58,woman,11.0,white,12422.391189513477,not_married,north
547,45,man,11.0,brown,16228.080078125,married,north
548,20,woman,13.0,white,12422.391189513477,married,north
549,49,man,15.0,brown,22032.0,not_married,north
550,26,woman,10.0,brown,300.0,not_married,north
551,24,man,10.0,brown,8316.0,not_married,north
552,25,man,10.0,white,4400.0,not_married,north
553,35,man,11.0,white,19094.3984375,married,north
554,34,woman,5.0,white,24308.640625,married,north
555,38,woman,15.0,white,22264.560546875,married,north
556,45,man,5.0,brown,7128.0,married,north
557,49,man,8.0,white,35640.0,married,north
558,42,woman,14.0,white,12422.391189513477,married,north
559,21,man,9.0,white,5940.0,not_married,north
560,42,woman,7.0,brown,3735.0,not_married,north
561,24,man,9.0,white,8400.0,not_married,north
562,53,man,5.0,brown,7128.0,married,north
563,47,woman,5.0,white,12422.391189513477,married,north
564,35,woman,11.0,brown,5580.0,not_married,north
565,29,woman,11.0,white,1040.300048828125,not_married,north
566,31,woman,13.0,white,12422.391189513477,not_married,north
567,45,woman,6.0,brown,12422.391189513477,not_married,north
568,21,man,8.0,brown,5520.0,not_married,north
569,45,man,8.0,brown,4800.0,married,north
570,44,woman,5.0,brown,3000.0,married,north
571,20,woman,11.0,brown,12422.391189513477,not_married,north
572,48,man,5.0,white,7200.0,married,north
573,43,woman,5.0,white,12422.391189513477,married,north
574,54,woman,5.0,black,80.0,not_married,north
575,32,man,5.0,white,23760.0,married,north
577,32,man,11.0,brown,6111.0,married,north
578,25,woman,7.0,brown,12422.391189513477,married,north
